stem,word,freq
model,model,1986
uncertainti,uncertainty,1021
data,data,724
bayesian,bayesian,465
problem,problems,798
learn,learning,539
method,method,831
approach,approach,545
paramet,parameters,477
comput,computational,737
optim,optimization,619
analysi,analysis,281
system,systems,510
stochast,stochastic,288
quantiﬁc,quantiﬁcation,275
numer,numerical,300
design,design,322
invers,inverse,317
gaussian,gaussian,248
framework,framework,249
new,new,231
neural,neural,230
space,space,271
process,process,338
propos,proposed,385
surrog,surrogate,249
distribut,distribution,308
approxim,approximation,390
infer,inference,247
nonlinear,nonlinear,205
engin,engineering,209
quantif,quantification,193
equat,equations,270
function,function,424
estim,estimation,544
random,random,216
probabl,probability,219
state,state,236
time,time,214
network,networks,335
result,results,276
solut,solution,283
inform,information,211
sampl,sampling,363
eﬃcient,eﬃcient,220
error,error,230
demonstr,demonstrate,222
applic,applications,290
deep,deep,160
larg,large,170
input,input,253
show,show,185
carlo,carlo,159
simul,simulations,422
mathemat,mathematics,260
algorithm,algorithm,262
mont,monte,147
posterior,posterior,151
technolog,technology,149
dynam,dynamics,330
machin,machine,149
highdimension,highdimensional,136
experiment,experimental,310
order,order,149
statist,statistical,215
accuraci,accuracy,133
train,training,194
complex,complex,201
appli,applied,198
linear,linear,146
set,set,231
high,high,171
variabl,variables,211
reduc,reduced,223
diﬀer,diﬀerent,158
interest,interest,143
diﬀerenti,diﬀerential,146
physic,physical,221
ensembl,ensemble,140
provid,provide,232
number,number,129
sever,several,135
sensit,sensitivity,138
perform,performance,255
discuss,discuss,156
control,control,139
scienc,science,202
reduct,reduction,113
exampl,examples,167
prior,prior,161
cost,cost,162
expens,expensive,123
datadriven,datadriven,108
techniqu,techniques,160
consid,consider,165
ﬁeld,ﬁeld,173
partial,partial,115
transport,transport,114
predict,predictions,348
properti,properties,122
forward,forward,100
accur,accurate,133
densiti,density,111
pde,pdes,178
associ,associated,103
spatial,spatial,114
includ,including,166
given,given,92
recent,recent,137
oper,operator,178
solv,solving,179
structur,structure,182
uncertain,uncertain,87
regress,regression,90
allow,allows,138
ﬂow,ﬂow,124
